Instancia,Ficheiro,Config,Algoritmo,Viz,Iter_HC,Tmax,Tmin,Alpha,Pop,Geracoes,Prob_Cross,Prob_Mut,Selecao,Crossover,Run,Fitness
tourism_5,tourism_5.txt,HC-1,Trepa-Colinas,1,1000,,,,50,1000,0.7,0.1,,,1,72.28
tourism_5,tourism_5.txt,HC-1,Trepa-Colinas,1,1000,,,,50,1000,0.7,0.1,,,2,72.28
tourism_5,tourism_5.txt,HC-1,Trepa-Colinas,1,1000,,,,50,1000,0.7,0.1,,,3,72.28
tourism_5,tourism_5.txt,HC-1,Trepa-Colinas,1,1000,,,,50,1000,0.7,0.1,,,4,72.28
tourism_5,tourism_5.txt,HC-1,Trepa-Colinas,1,1000,,,,50,1000,0.7,0.1,,,5,72.28
tourism_5,tourism_5.txt,HC-1,Trepa-Colinas,1,1000,,,,50,1000,0.7,0.1,,,6,72.28
tourism_5,tourism_5.txt,HC-1,Trepa-Colinas,1,1000,,,,50,1000,0.7,0.1,,,7,72.28
tourism_5,tourism_5.txt,HC-1,Trepa-Colinas,1,1000,,,,50,1000,0.7,0.1,,,8,72.28
tourism_5,tourism_5.txt,HC-1,Trepa-Colinas,1,1000,,,,50,1000,0.7,0.1,,,9,72.28
tourism_5,tourism_5.txt,HC-1,Trepa-Colinas,1,1000,,,,50,1000,0.7,0.1,,,10,72.28
tourism_5,tourism_5.txt,HC-2,Trepa-Colinas,2,1000,,,,50,1000,0.7,0.1,,,1,62.29
tourism_5,tourism_5.txt,HC-2,Trepa-Colinas,2,1000,,,,50,1000,0.7,0.1,,,2,62.29
tourism_5,tourism_5.txt,HC-2,Trepa-Colinas,2,1000,,,,50,1000,0.7,0.1,,,3,68.41
tourism_5,tourism_5.txt,HC-2,Trepa-Colinas,2,1000,,,,50,1000,0.7,0.1,,,4,62.29
tourism_5,tourism_5.txt,HC-2,Trepa-Colinas,2,1000,,,,50,1000,0.7,0.1,,,5,72.28
tourism_5,tourism_5.txt,HC-2,Trepa-Colinas,2,1000,,,,50,1000,0.7,0.1,,,6,68.41
tourism_5,tourism_5.txt,HC-2,Trepa-Colinas,2,1000,,,,50,1000,0.7,0.1,,,7,62.29
tourism_5,tourism_5.txt,HC-2,Trepa-Colinas,2,1000,,,,50,1000,0.7,0.1,,,8,62.29
tourism_5,tourism_5.txt,HC-2,Trepa-Colinas,2,1000,,,,50,1000,0.7,0.1,,,9,72.28
tourism_5,tourism_5.txt,HC-2,Trepa-Colinas,2,1000,,,,50,1000,0.7,0.1,,,10,72.28
tourism_5,tourism_5.txt,SA-1,Recristalizacao,1,,100.0,0.001,0.99,50,1000,0.7,0.1,,,1,72.28
tourism_5,tourism_5.txt,SA-1,Recristalizacao,1,,100.0,0.001,0.99,50,1000,0.7,0.1,,,2,72.28
tourism_5,tourism_5.txt,SA-1,Recristalizacao,1,,100.0,0.001,0.99,50,1000,0.7,0.1,,,3,72.28
tourism_5,tourism_5.txt,SA-1,Recristalizacao,1,,100.0,0.001,0.99,50,1000,0.7,0.1,,,4,72.28
tourism_5,tourism_5.txt,SA-1,Recristalizacao,1,,100.0,0.001,0.99,50,1000,0.7,0.1,,,5,72.28
tourism_5,tourism_5.txt,SA-1,Recristalizacao,1,,100.0,0.001,0.99,50,1000,0.7,0.1,,,6,72.28
tourism_5,tourism_5.txt,SA-1,Recristalizacao,1,,100.0,0.001,0.99,50,1000,0.7,0.1,,,7,72.28
tourism_5,tourism_5.txt,SA-1,Recristalizacao,1,,100.0,0.001,0.99,50,1000,0.7,0.1,,,8,72.28
tourism_5,tourism_5.txt,SA-1,Recristalizacao,1,,100.0,0.001,0.99,50,1000,0.7,0.1,,,9,72.28
tourism_5,tourism_5.txt,SA-1,Recristalizacao,1,,100.0,0.001,0.99,50,1000,0.7,0.1,,,10,72.28
tourism_5,tourism_5.txt,SA-2,Recristalizacao,2,,100.0,0.001,0.95,50,1000,0.7,0.1,,,1,72.28
tourism_5,tourism_5.txt,SA-2,Recristalizacao,2,,100.0,0.001,0.95,50,1000,0.7,0.1,,,2,72.28
tourism_5,tourism_5.txt,SA-2,Recristalizacao,2,,100.0,0.001,0.95,50,1000,0.7,0.1,,,3,72.28
tourism_5,tourism_5.txt,SA-2,Recristalizacao,2,,100.0,0.001,0.95,50,1000,0.7,0.1,,,4,72.28
tourism_5,tourism_5.txt,SA-2,Recristalizacao,2,,100.0,0.001,0.95,50,1000,0.7,0.1,,,5,72.28
tourism_5,tourism_5.txt,SA-2,Recristalizacao,2,,100.0,0.001,0.95,50,1000,0.7,0.1,,,6,72.28
tourism_5,tourism_5.txt,SA-2,Recristalizacao,2,,100.0,0.001,0.95,50,1000,0.7,0.1,,,7,72.28
tourism_5,tourism_5.txt,SA-2,Recristalizacao,2,,100.0,0.001,0.95,50,1000,0.7,0.1,,,8,72.28
tourism_5,tourism_5.txt,SA-2,Recristalizacao,2,,100.0,0.001,0.95,50,1000,0.7,0.1,,,9,72.28
tourism_5,tourism_5.txt,SA-2,Recristalizacao,2,,100.0,0.001,0.95,50,1000,0.7,0.1,,,10,72.28
tourism_5,tourism_5.txt,GA-1,Evolutivo,,,,,,50,1000,0.7,0.1,1,1,1,72.28
tourism_5,tourism_5.txt,GA-1,Evolutivo,,,,,,50,1000,0.7,0.1,1,1,2,72.28
tourism_5,tourism_5.txt,GA-1,Evolutivo,,,,,,50,1000,0.7,0.1,1,1,3,72.28
tourism_5,tourism_5.txt,GA-1,Evolutivo,,,,,,50,1000,0.7,0.1,1,1,4,72.28
tourism_5,tourism_5.txt,GA-1,Evolutivo,,,,,,50,1000,0.7,0.1,1,1,5,72.28
tourism_5,tourism_5.txt,GA-1,Evolutivo,,,,,,50,1000,0.7,0.1,1,1,6,72.28
tourism_5,tourism_5.txt,GA-1,Evolutivo,,,,,,50,1000,0.7,0.1,1,1,7,72.28
tourism_5,tourism_5.txt,GA-1,Evolutivo,,,,,,50,1000,0.7,0.1,1,1,8,72.28
tourism_5,tourism_5.txt,GA-1,Evolutivo,,,,,,50,1000,0.7,0.1,1,1,9,72.28
tourism_5,tourism_5.txt,GA-1,Evolutivo,,,,,,50,1000,0.7,0.1,1,1,10,72.28
tourism_5,tourism_5.txt,GA-2,Evolutivo,,,,,,50,1000,0.7,0.1,2,3,1,72.28
tourism_5,tourism_5.txt,GA-2,Evolutivo,,,,,,50,1000,0.7,0.1,2,3,2,72.28
tourism_5,tourism_5.txt,GA-2,Evolutivo,,,,,,50,1000,0.7,0.1,2,3,3,72.28
tourism_5,tourism_5.txt,GA-2,Evolutivo,,,,,,50,1000,0.7,0.1,2,3,4,72.28
tourism_5,tourism_5.txt,GA-2,Evolutivo,,,,,,50,1000,0.7,0.1,2,3,5,72.28
tourism_5,tourism_5.txt,GA-2,Evolutivo,,,,,,50,1000,0.7,0.1,2,3,6,72.28
tourism_5,tourism_5.txt,GA-2,Evolutivo,,,,,,50,1000,0.7,0.1,2,3,7,72.28
tourism_5,tourism_5.txt,GA-2,Evolutivo,,,,,,50,1000,0.7,0.1,2,3,8,72.28
tourism_5,tourism_5.txt,GA-2,Evolutivo,,,,,,50,1000,0.7,0.1,2,3,9,72.28
tourism_5,tourism_5.txt,GA-2,Evolutivo,,,,,,50,1000,0.7,0.1,2,3,10,72.28
tourism_5,tourism_5.txt,H1-1,Hibrido1_GA_SA,1,,100.0,0.001,0.99,50,1000,0.7,0.1,1,1,1,72.28
tourism_5,tourism_5.txt,H1-1,Hibrido1_GA_SA,1,,100.0,0.001,0.99,50,1000,0.7,0.1,1,1,2,72.28
tourism_5,tourism_5.txt,H1-1,Hibrido1_GA_SA,1,,100.0,0.001,0.99,50,1000,0.7,0.1,1,1,3,72.28
tourism_5,tourism_5.txt,H1-1,Hibrido1_GA_SA,1,,100.0,0.001,0.99,50,1000,0.7,0.1,1,1,4,72.28
tourism_5,tourism_5.txt,H1-1,Hibrido1_GA_SA,1,,100.0,0.001,0.99,50,1000,0.7,0.1,1,1,5,72.28
tourism_5,tourism_5.txt,H1-1,Hibrido1_GA_SA,1,,100.0,0.001,0.99,50,1000,0.7,0.1,1,1,6,72.28
tourism_5,tourism_5.txt,H1-1,Hibrido1_GA_SA,1,,100.0,0.001,0.99,50,1000,0.7,0.1,1,1,7,72.28
tourism_5,tourism_5.txt,H1-1,Hibrido1_GA_SA,1,,100.0,0.001,0.99,50,1000,0.7,0.1,1,1,8,72.28
tourism_5,tourism_5.txt,H1-1,Hibrido1_GA_SA,1,,100.0,0.001,0.99,50,1000,0.7,0.1,1,1,9,72.28
tourism_5,tourism_5.txt,H1-1,Hibrido1_GA_SA,1,,100.0,0.001,0.99,50,1000,0.7,0.1,1,1,10,72.28
tourism_5,tourism_5.txt,H1-2,Hibrido1_GA_SA,2,,100.0,0.001,0.95,50,1000,0.7,0.1,2,3,1,72.28
tourism_5,tourism_5.txt,H1-2,Hibrido1_GA_SA,2,,100.0,0.001,0.95,50,1000,0.7,0.1,2,3,2,72.28
tourism_5,tourism_5.txt,H1-2,Hibrido1_GA_SA,2,,100.0,0.001,0.95,50,1000,0.7,0.1,2,3,3,72.28
tourism_5,tourism_5.txt,H1-2,Hibrido1_GA_SA,2,,100.0,0.001,0.95,50,1000,0.7,0.1,2,3,4,72.28
tourism_5,tourism_5.txt,H1-2,Hibrido1_GA_SA,2,,100.0,0.001,0.95,50,1000,0.7,0.1,2,3,5,72.28
tourism_5,tourism_5.txt,H1-2,Hibrido1_GA_SA,2,,100.0,0.001,0.95,50,1000,0.7,0.1,2,3,6,72.28
tourism_5,tourism_5.txt,H1-2,Hibrido1_GA_SA,2,,100.0,0.001,0.95,50,1000,0.7,0.1,2,3,7,72.28
tourism_5,tourism_5.txt,H1-2,Hibrido1_GA_SA,2,,100.0,0.001,0.95,50,1000,0.7,0.1,2,3,8,72.28
tourism_5,tourism_5.txt,H1-2,Hibrido1_GA_SA,2,,100.0,0.001,0.95,50,1000,0.7,0.1,2,3,9,72.28
tourism_5,tourism_5.txt,H1-2,Hibrido1_GA_SA,2,,100.0,0.001,0.95,50,1000,0.7,0.1,2,3,10,72.28
tourism_5,tourism_5.txt,H2-1,Hibrido2_GA_HC,1,1000,,,,50,1000,0.7,0.1,1,1,1,72.28
tourism_5,tourism_5.txt,H2-1,Hibrido2_GA_HC,1,1000,,,,50,1000,0.7,0.1,1,1,2,72.28
tourism_5,tourism_5.txt,H2-1,Hibrido2_GA_HC,1,1000,,,,50,1000,0.7,0.1,1,1,3,72.28
tourism_5,tourism_5.txt,H2-1,Hibrido2_GA_HC,1,1000,,,,50,1000,0.7,0.1,1,1,4,72.28
tourism_5,tourism_5.txt,H2-1,Hibrido2_GA_HC,1,1000,,,,50,1000,0.7,0.1,1,1,5,72.28
tourism_5,tourism_5.txt,H2-1,Hibrido2_GA_HC,1,1000,,,,50,1000,0.7,0.1,1,1,6,72.28
tourism_5,tourism_5.txt,H2-1,Hibrido2_GA_HC,1,1000,,,,50,1000,0.7,0.1,1,1,7,72.28
tourism_5,tourism_5.txt,H2-1,Hibrido2_GA_HC,1,1000,,,,50,1000,0.7,0.1,1,1,8,72.28
tourism_5,tourism_5.txt,H2-1,Hibrido2_GA_HC,1,1000,,,,50,1000,0.7,0.1,1,1,9,72.28
tourism_5,tourism_5.txt,H2-1,Hibrido2_GA_HC,1,1000,,,,50,1000,0.7,0.1,1,1,10,72.28
