RESULTADOS,tourism_20.txt
C,20,m,5,Runs,10,Seed,1765131378

=== HILL CLIMBING ===
Configuracao,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Melhor,Pior,Media,Desvio
Viz1_Iter500,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,0.0000
Viz1_Iter1000,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,0.0000
Viz1_Iter2000,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,0.0000
Viz2_Iter500,164.6534,164.6534,162.6477,164.6534,162.6477,164.6534,164.6534,164.6534,164.6534,164.6230,164.6534,162.6477,164.2492,0.8008
Viz2_Iter1000,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,0.0000
Viz2_Iter2000,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,0.0000


=== EVOLUTIVO ===
Configuracao,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Melhor,Pior,Media,Desvio

# Variando Populacao
Pop30_Gen100,162.6477,164.6534,164.6534,164.6534,162.6477,164.6534,164.6534,164.6534,164.6534,162.6477,164.6534,162.6477,164.0517,0.9192
Pop50_Gen100,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,0.0000
Pop100_Gen100,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,0.0000

# Variando Probabilidades
Cx0.70_Mut0.05,164.6534,164.6534,164.6534,164.6534,164.6230,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6230,164.6504,0.0091
Cx0.70_Mut0.10,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,0.0000
Cx0.70_Mut0.20,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,0.0000
Cx0.80_Mut0.05,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,0.0000
Cx0.80_Mut0.10,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,0.0000
Cx0.80_Mut0.20,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,0.0000
Cx0.90_Mut0.05,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,0.0000
Cx0.90_Mut0.10,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,0.0000
Cx0.90_Mut0.20,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,0.0000

# Comparando Selecoes
Sel_Torneio,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,0.0000
Sel_Roleta,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,0.0000

# Comparando Crossovers
Cross_Uniforme,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,0.0000
Cross_UmPonto,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,0.0000


=== HIBRIDOS ===
Configuracao,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Melhor,Pior,Media,Desvio
Hibrido1_EA+HC,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,0.0000
Hibrido2_HC+EA,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,0.0000
Hibrido3_EA_Refinado,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,164.6534,0.0000


=== COMPARACAO FINAL ===
Algoritmo,Melhor,Pior,Media,Desvio
Melhor HC,164.6534,164.6534,164.6534,0.0000
Melhor EA,164.6534,164.6534,164.6534,0.0000
Hibrido 1,164.6534,164.6534,164.6534,0.0000
Hibrido 2,164.6534,164.6534,164.6534,0.0000
